"id","name","location","st_asewkt"
142,"Flint, MI, USA","0101000020E6100000185C7347FFEB54C093A8177C9A814540","SRID=4326;POINT(-83.687456 43.012527)"
143,"Springfield, MA, USA","0101000020E61000008CF4A276BF2552C0CC0C1B65FD0C4540","SRID=4326;POINT(-72.589811 42.101483)"
150,"Lafayette, LA, USA","0101000020E61000007D03931B450157C0535C55F65D393E40","SRID=4326;POINT(-92.019843 30.22409)"
156,"Huntsville, AL, USA","0101000020E610000082035ABA82A555C091813CBB7C5D4140","SRID=4326;POINT(-86.586104 34.730369)"
160,"Springfield, MO, USA","0101000020E6100000D369DD06B55257C098A25C1ABF9A4240","SRID=4326;POINT(-93.292299 37.208957)"
165,"Nashville, TN, USA","0101000020E61000002A38BC2022B255C04529215855154240","SRID=4326;POINT(-86.783333 36.166667)"
168,"Portland, ME, USA","0101000020E610000062F4DC42579051C04F20EC14ABD44540","SRID=4326;POINT(-70.255326 43.661471)"
174,"Atlantic City, NJ, USA","0101000020E61000001B66683C119B52C090BE49D3A0AE4340","SRID=4326;POINT(-74.422927 39.364283)"
175,"Omaha, NE, USA","0101000020E61000003B730F09DFFF57C038DC476E4DA04440","SRID=4326;POINT(-95.997988 41.252363)"
178,"Fresno, CA, USA","0101000020E61000002594BE1072F15DC0BEA3C684985F4240","SRID=4326;POINT(-119.772587 36.746842)"
1,">SiriusXM","0101000020E610000000000000000000000000000000000000","SRID=4326;POINT(0 0)"
19,"Augusta, GA, USA","0101000020E610000084471B47AC8054C0575C1C959BBC4040","SRID=4326;POINT(-82.010515 33.473498)"
49,"Fort Wayne, IN, USA","0101000020E61000008EEA7420EB4855C0583A1F9E258A4440","SRID=4326;POINT(-85.139351 41.079273)"
85,"Rochester, NY, USA","0101000020E61000000B9A9658196753C062D68BA19C944540","SRID=4326;POINT(-77.610922 43.16103)"
120,"Harrisburg, PA, USA","0101000020E6100000997FF44D9A3853C02575029A08234440","SRID=4326;POINT(-76.884418 40.2737)"
180,"Palm Springs, CA, USA","0101000020E61000004FB16A10E6225DC0F3FFAA2347EA4040","SRID=4326;POINT(-116.545292 33.830296)"
181,"Hudson Valley, 1089 New York 32, Rosendale, NY 12472, USA","0101000020E61000005665DF15C18452C037E3344415EC4440","SRID=4326;POINT(-74.074285 41.844399)"
183,"Orlando, FL, USA","0101000020E6100000B91B446B455854C0CB4A9352D0893C40","SRID=4326;POINT(-81.379237 28.538335)"
186,"Austin, TX, USA","0101000020E6100000B77BB94F8E6F58C03E07962364443E40","SRID=4326;POINT(-97.743061 30.267153)"
194,"Canton, OH, USA","0101000020E61000003C11C479385854C0601E32E543664440","SRID=4326;POINT(-81.378447 40.798947)"
197,"Gainesville, FL, USA","0101000020E6100000FEB8FDF2C99454C030F65E7CD1A63D40","SRID=4326;POINT(-82.324826 29.651634)"
199,"Portland, OR, USA","0101000020E6100000E294B9F946AB5EC04D83A27900C34640","SRID=4326;POINT(-122.676207 45.523452)"
201,"Daytona Beach, FL, USA","0101000020E610000041118B18764154C09981CAF8F7353D40","SRID=4326;POINT(-81.022833 29.210815)"
215,"Tyler, TX, USA","0101000020E610000060048D9944D357C04D327216F62C4040","SRID=4326;POINT(-95.301062 32.35126)"
218,"Phoenix, AZ, USA","0101000020E61000006A6CAF05BD045CC0A9A3E36A64B94040","SRID=4326;POINT(-112.074037 33.448377)"
223,"Youngstown, OH, USA","0101000020E61000005CC823B8912954C0BF654E97C58C4440","SRID=4326;POINT(-80.649519 41.09978)"
244,"Fort Collins, CO, USA","0101000020E6100000EF01BA2F67455AC017D4B7CCE94A4440","SRID=4326;POINT(-105.084423 40.58526)"
251,"Charlotte, NC, USA","0101000020E6100000F9D7F2CAF53554C0622CD32F119D4140","SRID=4326;POINT(-80.843127 35.227087)"
252,"Fort Myers, FL, USA","0101000020E61000008202EFE4D37754C0E2E6543200A43A40","SRID=4326;POINT(-81.872308 26.640628)"
257,"Quad Cities Chamber of Commerce, 130 West 2nd Street, Davenport, IA 52801, USA","0101000020E6100000B98E71C5C5A456C0EC3026FDBDC24440","SRID=4326;POINT(-90.574571 41.521423)"
276,"Dayton, OH, USA","0101000020E6100000D2AB014A430C55C0ABAE433525E14340","SRID=4326;POINT(-84.191607 39.758948)"
285,"Wichita, KS, USA","0101000020E6100000DB34B6D7825558C07EC9C6832DD84240","SRID=4326;POINT(-97.336111 37.688889)"
292,"Melbourne VIC, Australia","0101000020E6100000821C9430D31E6240EB387EA834E842C0","SRID=4326;POINT(144.96328 -37.814107)"
298,"Ocean Township, NJ, USA","0101000020E6100000EE409DF2E88152C040A54A94BD1F4440","SRID=4326;POINT(-74.029843 40.247973)"
